min E,p/e,len E,,
5.42665676,0.537943708,19,"(500, 400)",267.8604218
,,,,
7.92426988,0.726297171,8,"(500, 500)",557.32579
,,,,
5.231376774,0.550982506,18,"(500, 400)",231.6534594
,,,,
7.017224097,0.706294634,7,"(500, 500)",4199.687343
,,,,
5.491166662,0.417402001,31,"(300, 500)",155.9506681
,,,,
4.066010015,0.54242526,19,"(500, 400)",240.4825466
,,,,
4.303919447,0.414407955,31,"(300, 500)",156.4811925
,,,,
4.347282999,0.581106421,11,"(500, 600)",4486.911544
,,,,
4.685100682,0.556487221,16,"(500, 400)",505.7782791
,,,,
4.104119215,0.706959049,8,"(500, 500)",4155.021648
,,,,
6.785430027,0.397974683,32,"(300, 500)",2070.324153
,,,,
3.999817184,0.568564387,11,"(500, 600)",4254.144132
,,,,
3.197497998,0.45141653,20,"(500, 400)",17.34531063
,,,,
3.179113008,0.582175354,8,"(500, 500)",5.660224407
,,,,
6.232809514,0.517024754,21,"(500, 400)",420.5497799
,,,,
4.583499735,0.24899801,53,"(300, 300)",436.8327379
,,,,
6.078998312,0.541020833,19,"(500, 400)",466.329432
,,,,
5.162803739,0.697558971,8,"(500, 500)",283.321668
,,,,
5.539602017,0.528368916,19,"(500, 400)",2684.614026
,,,,
4.531906612,0.249243192,56,"(300, 300)",3.189729494
,,,,
4.518888631,0.545300307,19,"(500, 400)",145.6744783
,,,,
4.489656032,0.254431856,55,"(300, 300)",5.916627705
,,,,
4.47575027,0.530629725,22,"(500, 400)",88.0779596
,,,,
4.452862932,0.238798091,56,"(300, 300)",6.883363025
,,,,
3.977368633,0.568501702,20,"(500, 400)",3772.021918
,,,,
3.999718752,0.248313555,56,"(300, 300)",1956.685275
,,,,
4.357414811,0.538546839,15,"(500, 600)",6514.061214
,,,,
3.731965599,0.45141653,19,"(500, 400)",2055.586185
,,,,
3.461497162,0.254431856,53,"(300, 300)",2260.009921
,,,,
3.171746566,0.805472187,5,"(500, 500)",2540.185727
,,,,
3.076765524,0.347768794,20,"(500, 400)",379.0580915
,,,,
3.028149019,0.10164713,81,"(800, 800)",2117.053986
,,,,
4.66764004,0.437265037,32,"(300, 500)",310.2111698
,,,,
4.586067518,0.553392906,12,"(500, 600)",16934.61325
,,,,
4.530379292,0.214315678,52,"(300, 700)",229.3803219
,,,,
4.045715156,0.141402427,64,"(200, 700)",800.0076439
,,,,
4.633571446,0.496892513,20,"(500, 400)",467.3379477
,,,,
7.466658006,0.739106765,8,"(500, 500)",7916.173432
,,,,
4.285692839,0.546164563,19,"(500, 400)",21.6559495
,,,,
6.081274163,0.717694161,8,"(500, 500)",8615.292753
,,,,
4.442307489,0.202222986,54,"(800, 500)",10.39555256
,,,,
4.299041675,0.194731065,58,"(800, 400)",2189.163209
,,,,
5.680823297,0.43006135,31,"(300, 500)",385.7284313
,,,,
4.427258126,0.552797427,19,"(500, 400)",240.1097731
,,,,
4.225687971,0.431476225,31,"(300, 500)",1698.432202
,,,,
4.007580199,0.518630452,19,"(500, 400)",511.7380151
,,,,
5.021712176,0.751320433,7,"(500, 500)",9850.453743
,,,,
4.498043106,0.24946952,56,"(300, 300)",5.936368466
,,,,
4.473030947,0.445562861,32,"(300, 500)",1565.260735
,,,,
3.999835613,0.551517585,19,"(500, 400)",9548.678632
,,,,
