"{'l': 0, 'm': 0.7866716199999999, 'h': 0.2133283800000001}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0, 'm': 0.8843116129999999, 'h': 0.11568838700000006}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0, 'm': 0.7544166689999998, 'h': 0.24558333100000018}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.4129899949999999, 'h': 0.5870100050000002}",0.1
"{'l': 0.4669949925000001, 'm': 0.5330050074999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.3480402764999999, 'm': 0.6519597235000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.427960225, 'h': 0.572039775}",0.1
"{'l': 0.32635850050000004, 'm': 0.6736414995, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.15744965900000008, 'm': 0.8425503409999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0.44794039250000006, 'm': 0.5520596074999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0.10728498649999985, 'h': 0.8927150135000002}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.5101265850000001, 'h': 0.48987341500000003}",0.1
"{'l': 0.5000914080000001, 'm': 0.49990859199999993, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.9012510010000001, 'm': 0.09874899899999989, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.2429173500000001, 'h': 0.75708265}",0.0
"{'l': 0.9104434960000001, 'm': 0.08955650399999993, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0, 'm': 0.3835952429999998, 'h': 0.6164047570000002}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0.2082501324999999, 'm': 0.7917498675000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25500995, 'm': 0.74499005, 'h': 0}",0.0
"{'l': 0, 'm': 0.4605008439999998, 'h': 0.5394991560000002}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0, 'm': 0.9185981304999999, 'h': 0.08140186950000006}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
"{'l': 0, 'm': 0.7301989915, 'h': 0.2698010085}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.1
