time,current mc,min energy,most consume,queue length
1,"(0.0, 0.0)",0.5,0.0,0
101,"(0.0, 0.0)",0.4949286425000287,0.0,0
201,"(0.0, 0.0)",0.49015161250005573,0.0,0
301,"(0.0, 0.0)",0.48536195500008283,0.0,0
401,"(0.0, 0.0)",0.4805421275001101,0.0,0
501,"(0.0, 0.0)",0.4755437375001384,0.0,0
601,"(0.0, 0.0)",0.4706082300001663,0.0,0
701,"(0.0, 0.0)",0.46568018000019423,0.0,0
801,"(0.0, 0.0)",0.4608124700002218,0.0,0
901,"(0.0, 0.0)",0.4558467925002499,0.0,0
1001,"(0.0, 0.0)",0.45119535750027623,0.0,0
1101,"(0.0, 0.0)",0.44636544500030356,0.0,0
1201,"(0.0, 0.0)",0.44160316000033056,0.0,0
1301,"(0.0, 0.0)",0.43684341750035754,0.0,0
1401,"(0.0, 0.0)",0.43191536750038545,0.0,0
1501,"(0.0, 0.0)",0.42698986000041333,0.0,0
1601,"(0.0, 0.0)",0.4222580000004401,0.0,0
1701,"(0.0, 0.0)",0.4176292775004663,0.0,0
1801,"(0.0, 0.0)",0.4131764050004915,0.0,0
1901,"(0.0, 0.0)",0.40871861750051675,0.0,0
2001,"(0.0, 0.0)",0.40377048250054476,0.0,0
2101,"(0.0, 0.0)",0.39884006000057265,0.0,0
2201,"(0.0, 0.0)",0.3940050625006,0.0,0
2301,"(0.0, 0.0)",0.3891147250006277,0.0,0
2401,"(0.0, 0.0)",0.3847799050006523,0.0,0
2501,"(0.0, 0.0)",0.38017626750067834,0.0,0
2601,"(0.0, 0.0)",0.37547457750070495,0.0,0
2701,"(0.0, 0.0)",0.3705917825007326,0.0,0
2801,"(0.0, 0.0)",0.36558576500076095,0.0,0
2901,"(0.0, 0.0)",0.3606828850007887,0.0,0
3001,"(0.0, 0.0)",0.3555686450008177,0.0,0
3101,"(0.0, 0.0)",0.3505902550008459,0.0,0
3201,"(0.0, 0.0)",0.3459663625008721,0.0,0
