time,nb dead,nb package
13451,1,101
24095,2,73
24706,3,73
25534,4,73
25950,5,47
26620,6,47
26635,7,46
27454,8,46
27551,9,23
28517,10,23
29562,11,23
30224,12,23
30443,13,23
31011,14,23
33091,15,23
33125,16,23
34655,17,4
36429,18,4
37114,19,4
39298,20,4
40814,21,4
41028,22,4
41037,23,4
43953,24,4
43961,25,4
46751,26,4
49197,27,4
49915,28,4
50675,29,4
58107,30,4
62016,31,4
64159,32,4
66102,33,4
66804,34,4
70679,35,4
70903,36,4
78593,37,4
79069,38,4
79186,39,4
83905,40,4
87455,41,4
88777,42,4
90824,43,4
94950,44,4
95895,45,4
104122,46,4
121472,47,4
122811,48,4
123758,49,4
131075,50,4
132064,51,4
132678,52,4
151124,53,4
165846,54,4
170703,55,4
170788,56,4
172325,57,4
182443,58,4
184172,59,4
190975,60,4
196254,61,4
198029,62,4
201603,63,4
207839,64,4
214682,65,4
215537,66,4
218688,67,4
219986,68,4
220253,69,4
220450,70,4
279091,71,4
279432,72,4
284853,73,2
329629,74,2
331426,75,2
331992,76,2
335337,77,2
347879,78,2
364279,79,2
366534,80,2
410849,81,2
438210,82,2
453440,83,2
479058,84,2
487557,85,2
490484,86,2
499790,87,2
